returnOnEquity,Debt to Equity,PE ratio,Revenue Growth,operatingProfitMargin,Class
0.1313,1.9459,34.8333,0.0594,1.0,1
0.1931,0.0,30.4488,0.0525,1.0,1
0.6715,2.7143,15.3283,0.0393,1.0,1
0.0277,0.0896,30.7681,-0.2371,1.0,1
0.1029,0.89,7.8224,0.0298,1.0,1
0.2512,0.4907,17.6312,0.0675,1.0,1
0.5831,3.3124,2.2997,0.0581,1.0,1
0.1639999999999999,1.4412,7.6944,0.1869,1.0,1
-0.1922,1.2057,0.0,0.2711,1.0,0
0.1792,0.3253,11.0112,0.2677,1.0,1
0.0489,0.7239,13.5789,0.0757,1.0,1
0.0838,0.5234,11.1983,-0.0193,1.0,1
-1.9682,8.359,0.0,0.0941,1.0,0
0.1572,0.7769,6.8415,0.2284,1.0,1
0.1375,0.6941,10.7281,-0.0228,1.0,1
-0.0367,0.2598,0.0,0.2384,1.0,1
-0.2167,10.1106,0.0,0.0424,1.0,1
0.0757,1.6921,32.8307,0.1824,1.0,1
-0.5185,4.4309,0.0,-0.0454,1.0,1
0.0626,0.395,11.1441,0.5378,1.0,1
0.0319,0.0,15.2373,-0.2941,1.0,1
0.1603,0.2147,11.2513,0.2143,1.0,1
0.392,2.3983,10.1083,-0.0328,1.0,1
0.0653,1.1874,21.6827,0.0721,1.0,1
0.0827,0.7765,10.8627,-0.0212,1.0,0
0.2921,1.0964,17.3874,0.075,1.0,1
0.0157,0.3693,46.0294,0.0731,1.0,0
0.1356,2.1805,12.8414,0.1752,1.0,1
0.055,0.6422,17.6344,0.2986,1.0,1
-1.3054,-7.6946,13.2919,0.0046,1.0,0
0.1145,0.3104,35.9091,0.042,1.0,1
1.226,5.2432,3.5446,0.0019,1.0,0
0.1601,1.0887,9.9042,0.1221,1.0,1
-0.0022,0.1962,0.0,0.1573,1.0,0
-0.1291,0.4863,0.0,-0.1045,1.0,0
3.6198,10.1176,14.7599,0.0761,1.0,1
0.1868,1.0122,12.2909,0.0458,1.0,1
0.7096,4.294,8.0881,0.0,1.0,1
0.2697,0.3973,14.1481,0.0218,1.0,0
0.5707,3.3217,24.8029,0.0606,1.0,1
0.2078,0.1074,7.9298,0.0027,1.0,0
0.4418,0.5201,8.1224,0.121,1.0,1
0.0943,0.7482,39.5263,0.0593,1.0,1
0.1839,0.0652,17.5845,0.0888,1.0,0
-0.0458,1.3698,0.0,0.052,1.0,1
-0.0262,1.1864,0.0,0.0274,1.0,1
1.0438,3.4401,24.2222,0.0528,1.0,1
0.1841,0.3168,20.1423,0.4831,1.0,1
0.1228,0.4865,4.8074,0.6035,1.0,0
0.098,1.5882,34.808,0.0724,1.0,1
0.1111,1.209,10.835,0.0492,1.0,1
0.349,3.5219,17.5935,0.0746,1.0,1
0.1658,0.2885,26.828000000000003,-0.0126,1.0,0
0.4572,0.9152,6.907,0.1311,1.0,1
0.1832,1.7628,7.4095,-0.0535,1.0,1
-0.2081,0.9116,0.0,-0.1246,1.0,0
0.2146,0.4096,6.8346,0.1159,1.0,1
0.1638,0.0,14.8696,0.0514,1.0,0
0.0944,0.6617,13.4516,0.2419,1.0,1
0.1032,1.4267,19.9474,0.0117,1.0,1
-0.9094,1.3146,0.0,0.3659,1.0,0
-0.4637,-3.6927,24.7619,0.0964,1.0,1
0.1368,0.0,64.0759,0.2868,1.0,1
0.1175,0.7188,7.7512,0.1526,1.0,1
1.5859,7.526,17.6365,0.0792,1.0,1
0.0851,0.644,9.8277,0.1553,1.0,1
0.0991,0.5598,25.3333,0.1266,1.0,1
0.0831,0.8565,14.9969,0.0633,1.0,1
0.1314,0.6731,18.075,0.0229,1.0,1
0.1425,0.0,60.9149,0.2552,1.0,1
0.2851,1.0584,13.8756,0.1685,1.0,1
0.0933,0.9138,14.3627,-0.03,1.0,1
0.1356,0.1806,13.6696,-0.009,1.0,1
0.0847,3.2593,12.744000000000002,0.3083,1.0,1
0.2317,0.8587,28.3448,0.0979,1.0,1
0.0336,1.1261,88.0579,0.2394,1.0,1
0.2733,2.3026,8.22,0.0719,1.0,1
0.0566,1.8785,24.4875,-0.1389,1.0,1
0.9813,3.9172,5.0214,0.0736,1.0,0
0.3175,1.3257,4.6361,0.1296,1.0,1
-0.0336,0.7929999999999999,0.0,0.0166,1.0,1
1.1001,-1.9007,0.0,0.0998,1.0,0
0.2321,0.2071,8.0507,0.0344,1.0,1
0.2769,0.3751,20.4264,0.0697,1.0,1
0.0544,0.237,87.2841,0.4746,1.0,0
0.0433,0.8702,32.3879,-0.0011,1.0,1
-0.1476,3.0154,0.0,0.2093,1.0,0
0.0814,0.3069,15.6771,0.1801,1.0,1
-0.934,0.0,0.0,0.7088,1.0,1
-0.1916,1.5231,0.0,0.4358,1.0,1
0.0386,0.29,28.5714,-0.1509,1.0,1
0.0872,11.4094,9.5,0.0918,1.0,1
0.0325,0.4057,54.1406,-0.0171,1.0,1
0.0772,0.0736,21.9353,-0.0114,1.0,0
-1.6457,-7.5035,10.94,0.1161,1.0,1
0.2881,1.6909,5.1563,0.1804,1.0,1
-0.9609,-6.6068,8.5694,-0.0015,1.0,1
-0.0088,1.588,0.0,0.0492,1.0,1
0.3288,1.0478,36.8535,0.0736,1.0,1
-0.1034,1.5825,0.0,0.141,1.0,1
0.1165,0.0054,61.0955,0.0074,1.0,1
0.4951,1.3807,20.2339,0.16,1.0,1
0.1246,3.0817,8.3622,0.2728,1.0,1
0.1214,0.5133,7.9277,0.4529999999999999,1.0,1
0.181,0.6551,17.5454,0.0594,1.0,1
0.1218,0.2319,7.7402,0.6052,1.0,0
0.0177,0.2722,28.4737,0.2725,1.0,1
0.1308,1.0518,22.7413,-0.0001,1.0,1
0.2835,0.3217,12.5847,0.0135,1.0,1
0.5134,-8.8573,0.0,-0.078,1.0,0
0.4095,0.1027,51.6667,0.3078,1.0,1
0.0317,0.7441,116.9048,0.0378,1.0,0
-0.1945,-1.2708,19.15,-0.0323,1.0,1
0.2888,1.2773,18.0167,0.0354,1.0,1
0.0775,1.861,9.1691,-0.3941,1.0,1
0.3765,0.9955,6.8133,0.2846,1.0,0
0.0554,0.3489,29.4094,0.1762,1.0,1
0.126,1.1192,16.8298,0.0012,1.0,1
0.2691,0.9845,19.1138,0.1163,1.0,0
0.0236,0.6442,53.4333,0.2298,1.0,1
0.0952,4.0835,7.6296,0.0068,1.0,1
-0.0084,0.2059,0.0,-0.0195,1.0,1
-0.1095,1.3488,0.0,0.0428,1.0,0
0.0216,-1.7619,0.0,-0.0252,1.0,1
0.4976,0.2555,7.7029,0.2114,1.0,1
0.1382,2.4768,21.309,0.0441,1.0,1
0.1028,0.0,26.3534,0.0278,1.0,1
0.3122,0.3186,6.112,0.0123,1.0,1
-0.1225,0.9937,0.0,-0.0035,1.0,0
0.1881,2.661,0.0001,0.2826,1.0,1
0.0762,0.9854,17.04,-0.084,1.0,1
0.1676,0.8303,14.5388,0.1504,1.0,1
0.1101,0.1127,15.9636,0.3782,1.0,1
0.0759,0.5698,20.125,-0.0182,1.0,0
0.1082,0.0659,7.9084,0.2684,1.0,1
0.2355,0.8826,14.5855,0.0851,1.0,0
